text,category
Bought pizza,food
Groceries shopping,food
Lunch at restaurant,food
Dinner with family,food
Bought vegetables,food
Bought fruits,food
Ordered online food,food
Coffee from cafe,food
Snacks from shop,food
Ice cream purchase,food
Supermarket groceries,food
Vegetable purchase,food
Online grocery order,food
Fruit basket,food
Doctor consultation,medical
Medicine purchase,medical
Bought vitamins,medical
Annual health checkup,medical
Dental appointment,medical
Eye checkup,medical
Vaccination fee,medical
Hospital visit,medical
Pharmacy bill,medical
Blood test,medical
Bus ticket,transport
Fuel for car,transport
Taxi ride,transport
Train ticket,transport
Flight booking,transport
Uber fare,transport
Metro pass,transport
Gas refill,transport
Parking fee,transport
Bike repair,transport
Taxi to office,transport
Metro recharge,transport
Movie ticket,others
Gym membership,others
Book purchase,others
Concert ticket,others
Music subscription,others
Gift for friend,others
Clothes shopping,others
Online course,others
Software purchase,others
Game purchase,others
Yoga class fee,others
Dinner at cafe,food
Bought salad,food
Car service,transport
Bought cough syrup,medical
Eye drops purchase,medical
Lunch delivery,food
Movie streaming subscription,others

Bought apples,food
Bought bananas,food
Bought oranges,food
Purchased mangoes,food
Bought strawberries,food
Bought grapes,food
Fruit basket,food
Ordered mixed fruits online,food
Bought watermelon,food
Bought pineapple,food
Bought tomatoes,food
Bought onions,food
Bought spinach,food
Bought carrots,food
Grocery shopping at supermarket,food
Bought potatoes,food
Bought cucumber,food
Bought capsicum,food
Purchased green beans,food
Grocery order online,food
Bought apples and carrots,food
Supermarket shopping for vegetables and fruits,food
Hospital visit,medical
Doctor appointment,medical
Surgery fee,medical
Hospital,medical
transport,transport
Taxi fare,transport
Train ticket,transport
Bus ticket,transport
Fuel for car,transport
Metro pass,transport
Parking fee,transport
Hospital visit,medical
Visited hospital,medical
Hospital bill,medical
Doctor appointment,medical
Medical checkup,medical 
