text,category
"Bought apples for 80 rs",Food & Groceries
"Bananas 6 pcs for 40 rs",Food & Groceries
"Milk 1 litre 50 rs",Food & Groceries
"Eggs dozen 70 rs",Food & Groceries
"Tomatoes 2kg 100 rs",Food & Groceries
"Potatoes 3kg 90 rs",Food & Groceries
"Onions 1kg 60 rs",Food & Groceries
"Carrots 500g 40 rs",Food & Groceries
"Spinach bunch 30 rs",Food & Groceries
"Cauliflower 1 piece 50 rs",Food & Groceries
"Rice 5kg bag 600 rs",Food & Groceries
"Wheat flour 5kg 350 rs",Food & Groceries
"Cooking oil 1 litre 160 rs",Food & Groceries
"Salt packet 25 rs",Food & Groceries
"Sugar 1kg 50 rs",Food & Groceries
"Dal 1kg 120 rs",Food & Groceries
"Chana 1kg 140 rs",Food & Groceries
"Green peas 500g 80 rs",Food & Groceries
"Cucumber 1kg 50 rs",Food & Groceries
"Lemon 6 pcs 40 rs",Food & Groceries
"Mangoes 1kg 150 rs",Food & Groceries
"Oranges 1 dozen 200 rs",Food & Groceries
"Grapes 500g 90 rs",Food & Groceries
"Watermelon 1 piece 120 rs",Food & Groceries
"Pineapple 1 piece 100 rs",Food & Groceries
"Bread loaf 40 rs",Food & Groceries
"Butter 500g 250 rs",Food & Groceries
"Cheese 200g 120 rs",Food & Groceries
"Paneer 250g 90 rs",Food & Groceries
"Curd 500g 60 rs",Food & Groceries
"Ice cream tub 200 rs",Food & Groceries
"Biscuits pack 30 rs",Food & Groceries
"Chips packet 20 rs",Food & Groceries
"Soft drink bottle 60 rs",Food & Groceries
"Juice tetra pack 100 rs",Food & Groceries
"Tea 250g 150 rs",Food & Groceries
"Coffee 100g 200 rs",Food & Groceries
"Dry fruits 500g 400 rs",Food & Groceries
"Almonds 250g 300 rs",Food & Groceries
"Cashews 250g 320 rs",Food & Groceries
"Raisins 200g 150 rs",Food & Groceries
"Honey 250g 180 rs",Food & Groceries
"Jam bottle 100 rs",Food & Groceries
"Ketchup bottle 120 rs",Food & Groceries
"Pickle jar 150 rs",Food & Groceries
"Instant noodles pack 50 rs",Food & Groceries
"Pasta 500g 80 rs",Food & Groceries
"Breakfast cereal 250 rs",Food & Groceries
"Chocolate bar 60 rs",Food & Groceries
"Popcorn packet 70 rs",Food & Groceries

"Paid 30 rs for bus ticket",transport
"Auto fare was 120 rs",transport
"Filled petrol for 500 rs",transport
"Cab ride cost 250 rs",transport
"Bought metro card recharge 200 rs",transport
"Taxi bill was 340 rs",transport
"Train ticket 90 rs",transport
"Bus pass renewal 600 rs",transport
"Ola ride for 180 rs",transport
"Uber cost me 220 rs",transport
"Rickshaw charged 70 rs",transport
"Spent 450 rs on fuel",transport
"Parking fee 50 rs",transport
"Toll gate charge 120 rs",transport
"Bike repair 300 rs",transport
"Flight ticket 3500 rs",transport
"Cab from airport 600 rs",transport
"Train sleeper class 450 rs",transport
"Bus sleeper coach 700 rs",transport
"Paid 150 rs for e-rickshaw",transport
"Metro ticket 60 rs",transport
"Bike petrol 200 rs",transport
"Paid 25 rs for shared auto",transport
"Uber XL cost 450 rs",transport
"Train express ticket 1200 rs",transport
"Monthly bus pass 1200 rs",transport
"Paid 100 rs for cycle rent",transport
"Cab ride night fare 350 rs",transport
"Ola auto charged 95 rs",transport
"Bike servicing 800 rs",transport
"Car fuel 2000 rs",transport
"Shared cab fare 120 rs",transport
"Bus ticket 40 rs",transport
"Paid 500 rs for luggage transport",transport
"Auto ride 60 rs",transport
"Taxi ride 280 rs",transport
"Parking 100 rs",transport
"Paid 50 rs toll",transport
"Metro recharge 300 rs",transport
"Train general ticket 40 rs",transport
"Flight baggage fee 800 rs",transport
"Airport bus 350 rs",transport
"Paid 900 rs for car repair",transport
"Cab pool 150 rs",transport
"Spent 220 rs on petrol",transport
"Bike parking 40 rs",transport
