text,category
Bought apples for 80 rs,Food
Bananas 6 pcs for 40 rs,Food
Milk 1 litre 50 rs,Food
Eggs dozen 70 rs,Food
Tomatoes 2kg 100 rs,Food
Potatoes 3kg 90 rs,Food
Onions 1kg 60 rs,Food
Carrots 500g 40 rs,Food
Spinach bunch 30 rs,Food
Cauliflower 1 piece 50 rs,Food
Rice 5kg bag 600 rs,Food
Wheat flour 5kg 350 rs,Food
Cooking oil 1 litre 160 rs,Food
Salt packet 25 rs,Food
Sugar 1kg 50 rs,Food
Dal 1kg 120 rs,Food
Chana 1kg 140 rs,Food
Green peas 500g 80 rs,Food
Cucumber 1kg 50 rs,Food
Lemon 6 pcs 40 rs,Food
Mangoes 1kg 150 rs,Food
Oranges 1 dozen 200 rs,Food
Grapes 500g 90 rs,Food
Watermelon 1 piece 120 rs,Food
Pineapple 1 piece 100 rs,Food
Bread loaf 40 rs,Food
Butter 500g 250 rs,Food
Cheese 200g 120 rs,Food
Paneer 250g 90 rs,Food
Curd 500g 60 rs,Food
Ice cream tub 200 rs,Food
Biscuits pack 30 rs,Food
Chips packet 20 rs,Food
Soft drink bottle 60 rs,Food
Juice tetra pack 100 rs,Food
Tea 250g 150 rs,Food
Coffee 100g 200 rs,Food
Dry fruits 500g 400 rs,Food
Almonds 250g 300 rs,Food
Cashews 250g 320 rs,Food
Raisins 200g 150 rs,Food
Honey 250g 180 rs,Food
Jam bottle 100 rs,Food
Ketchup bottle 120 rs,Food
Pickle jar 150 rs,Food
Instant noodles pack 50 rs,Food
Pasta 500g 80 rs,Food
Breakfast cereal 250 rs,Food
Chocolate bar 60 rs,Food
Popcorn packet 70 rs,Food
Paid 30 rs for bus ticket,Transport
Auto fare was 120 rs,Transport
Filled petrol for 500 rs,Transport
Cab ride cost 250 rs,Transport
Bought metro card recharge 200 rs,Transport
Taxi bill was 340 rs,Transport
Train ticket 90 rs,Transport
Bus pass renewal 600 rs,Transport
Ola ride for 180 rs,Transport
Uber cost me 220 rs,Transport
Rickshaw charged 70 rs,Transport
Spent 450 rs on fuel,Transport
Parking fee 50 rs,Transport
Toll gate charge 120 rs,Transport
Bike repair 300 rs,Transport
Flight ticket 3500 rs,Transport
Cab from airport 600 rs,Transport
